Product ID,Store ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
1792,12,40.25,13.52,10.14,251,1,19.09,7.69,1.95
6020,24,47.43,27.33,30.11,201,2,19.6,3.57,1.54
6654,28,92.37,47.49,21.28,225,2,10.56,4.43,1.93
7945,59,32.07,65.22,25.07,130,3,15.34,6.84,2.44
6028,80,68.28,56.26,25.66,92,4,12.85,3.02,2.3
9905,30,52.76,84.37,3.77,36,3,14.25,3.66,1.67
5279,16,35.31,17.69,25.34,84,3,4.67,9.1,1.4
2220,30,47.39,14.75,4.01,359,3,17.83,4.27,0.51
4303,91,26.27,56.06,2.34,98,2,6.32,7.59,1.03
9252,6,58.19,89.62,18.72,193,2,11.38,2.05,2.43
2577,95,43.37,34.56,12.5,83,1,17.6,2.43,1.14
5959,19,76.28,38.72,16.43,149,3,14.72,3.26,0.88
4684,98,96.4,18.28,8.58,16,3,6.71,1.01,1.48
2324,96,29.39,58.88,43.85,251,2,17.93,8.53,2.24
2543,63,29.91,95.4,1.69,165,4,4.16,5.46,2.45
6634,45,50.62,88.05,15.84,244,2,17.06,7.91,2.31
1099,43,63.67,96.3,37.93,22,2,17.41,3.82,1.56
9183,31,70.96,90.57,26.63,265,1,0.54,4.98,1.12
8470,6,18.36,27.78,15.9,291,1,9.53,2.35,1.45
9548,93,14.05,79.26,5.25,325,2,13.59,5.12,1.16
4764,85,95.18,16.7,27.42,322,4,14.15,3.2,1.34
9086,97,27.77,20.67,31.19,438,1,17.05,5.29,1.67
5066,43,23.16,21.6,11.33,16,4,7.05,8.62,0.54
1791,72,5.64,29.04,49.37,445,1,18.06,9.65,0.73
1054,82,91.18,54.43,45.52,27,4,1.16,6.41,0.64
3178,65,63.82,9.35,4.78,98,3,12.26,6.34,0.73
2868,45,23.87,36.91,48.94,320,1,12.38,8.04,1.16
4021,58,56.06,46.85,5.89,355,1,17.98,7.21,0.69
9935,64,22.83,16.55,9.19,222,4,1.79,3.25,1.34
6738,4,7.61,37.74,9.37,23,3,8.86,5.54,1.59
8963,71,11.08,90.39,7.2,490,2,12.1,2.77,1.4
7519,52,55.71,9.49,13.66,168,2,14.39,2.52,1.17
9482,4,75.8,58.65,22.42,247,2,3.91,3.92,1.33
2048,83,62.45,57.31,30.81,147,1,11.25,7.45,2.08
3545,61,65.24,58.93,23.81,361,1,12.58,6.85,1.93
6288,33,55.43,87.73,31.62,427,4,7.49,9.62,1.18
6520,25,85.84,13.48,43.12,159,4,6.1,8.41,0.54
3870,49,85.07,74.04,46.61,449,3,14.29,3.25,1.05
6504,5,47.24,84.85,12.53,374,2,9.39,4.06,1.31
5655,64,73.29,53.14,11.0,48,1,10.17,5.45,2.29
5489,26,75.67,13.1,35.27,56,3,15.59,9.12,1.87
6606,90,96.65,49.84,5.31,141,2,19.66,5.56,1.25
3504,16,64.96,22.62,27.45,133,1,11.24,7.53,1.95
2823,21,81.95,60.08,2.11,325,4,4.07,9.69,1.9
7536,44,60.49,11.15,28.67,442,4,0.35,1.38,2.07
1392,91,51.02,29.15,26.47,159,2,6.72,3.43,2.08
4208,69,85.91,51.65,33.65,137,2,14.15,6.44,0.64
5704,38,38.1,62.69,9.66,287,3,10.26,7.33,0.73
3913,38,14.29,37.02,4.91,28,3,10.42,2.68,1.22
4031,72,86.89,20.23,16.35,350,3,6.18,1.55,1.77
3226,66,50.65,15.18,8.15,97,2,17.85,4.65,1.95
8856,22,62.0,32.27,13.79,83,2,14.26,1.44,1.29
1248,38,74.83,17.01,30.49,337,3,6.29,7.84,2.28
7667,97,76.05,76.59,22.3,160,1,2.48,3.29,2.47
9299,70,11.97,86.19,39.03,76,1,11.53,2.52,2.32
9379,94,55.43,26.25,4.6,168,4,11.29,8.38,2.22
3312,84,21.99,99.72,30.67,139,3,18.41,5.56,1.53
9188,84,90.29,63.59,42.0,300,1,7.22,4.39,1.68
2679,91,30.18,56.55,49.45,210,2,3.32,6.75,2.02
6095,6,78.83,50.07,13.52,258,3,0.59,6.83,1.1
9792,69,84.97,45.12,37.72,360,2,4.87,6.14,0.72
1150,56,43.68,69.37,17.86,404,3,2.78,1.49,1.34
6273,15,41.25,90.02,41.48,229,1,17.71,7.09,0.66
3351,17,34.37,60.17,23.0,3,2,2.06,1.98,0.59
7654,54,27.35,84.46,16.04,223,3,3.05,9.26,1.39
5512,6,46.78,66.57,44.84,416,2,18.5,6.49,0.72
5457,24,7.66,89.45,6.94,56,3,16.59,6.78,0.75
2511,69,9.17,24.54,40.41,332,2,3.56,7.47,2.34
4716,49,76.51,50.43,26.4,493,4,17.23,2.07,1.15
3305,45,10.81,77.38,39.73,215,1,13.32,5.85,2.07
9347,29,41.86,26.84,35.0,73,2,16.92,4.89,1.2
7673,62,23.04,69.61,32.87,272,4,3.92,7.55,1.21
6336,87,68.78,79.18,28.98,439,2,14.18,6.61,1.9
9386,29,17.01,68.19,21.36,360,4,3.27,3.71,2.12
7304,63,15.25,69.87,15.89,132,3,4.45,6.1,0.7
4881,93,61.19,28.99,21.03,7,1,0.64,6.91,2.04
6739,26,89.01,98.97,44.05,195,4,3.07,8.87,0.87
1844,90,89.7,19.36,36.66,347,3,18.58,8.57,2.21
3797,51,68.49,96.99,40.13,203,3,3.18,4.79,1.14
7626,7,34.75,51.18,16.52,292,4,9.41,9.08,0.53
6887,31,84.27,39.32,0.06,124,1,4.61,8.58,2.27
3364,77,12.31,27.02,8.2,394,2,16.76,6.29,0.82
4359,20,41.41,56.26,26.4,427,4,1.92,4.78,2.23
8341,24,59.59,22.03,10.34,227,3,0.87,9.13,1.58
4292,98,29.5,16.48,18.77,457,3,8.24,1.16,1.32
1378,26,71.9,71.81,41.92,334,2,13.1,7.04,1.32
3061,53,70.7,98.65,14.76,395,4,3.78,4.46,1.95
4608,96,45.21,76.19,22.74,300,1,14.91,2.79,1.65
4043,49,40.55,68.82,6.18,221,4,0.69,6.81,1.27
1822,81,19.96,17.74,18.6,56,4,10.51,9.66,1.44
3389,71,97.96,44.54,8.23,133,3,10.32,9.71,1.32
1859,68,5.75,84.83,22.13,276,4,10.61,5.26,0.78
6694,98,35.71,46.43,1.53,184,2,6.39,6.87,1.69
6426,7,56.96,25.18,19.13,356,4,5.63,3.07,2.0
9313,70,7.15,96.55,20.74,301,1,7.29,1.62,1.08
4901,9,46.72,24.28,30.35,127,1,5.22,6.21,2.43
1329,16,80.2,16.88,13.78,68,2,15.0,5.51,1.37
5893,94,5.56,9.92,16.55,228,4,18.66,6.48,2.24
9457,14,73.76,78.51,31.97,411,1,17.55,8.54,1.51
8811,25,67.27,81.34,15.57,400,2,4.47,6.52,1.24
5996,52,83.2,99.39,41.04,237,4,10.29,2.86,1.9
9896,14,31.18,82.45,26.84,439,2,11.38,4.79,0.6
3208,65,14.75,94.72,1.7,386,1,17.73,9.58,0.71
8374,21,87.4,52.2,34.7,170,4,11.32,8.7,1.07
8197,54,59.81,16.88,8.39,391,4,15.28,6.35,1.27
5329,26,75.1,32.74,35.11,318,4,2.72,1.8,0.93
6604,45,64.11,16.96,32.36,343,4,16.23,7.29,0.54
3590,13,53.36,44.44,3.18,396,1,17.69,2.46,1.5
7637,86,45.99,64.62,34.24,146,4,6.25,4.7,1.08
7181,51,47.15,89.14,35.95,125,4,5.61,5.83,1.96
7125,23,39.55,76.6,1.95,452,4,5.91,7.69,1.57
1475,10,52.83,51.88,33.7,391,1,18.79,9.89,1.47
8787,84,30.5,6.52,0.77,398,2,5.78,1.32,0.5
3183,87,35.94,59.72,1.42,302,4,1.69,2.24,1.39
6023,14,39.58,96.75,28.55,40,4,0.8,8.78,0.52
1094,19,63.41,80.22,8.63,398,2,19.07,9.81,1.76
2665,24,55.48,91.77,43.56,459,1,18.98,7.32,0.95
1192,85,21.94,79.81,8.27,228,3,17.25,7.42,1.07
6464,28,18.91,81.22,44.08,335,4,18.82,7.77,1.11
5362,37,30.45,83.49,31.71,123,3,19.49,5.71,0.8
8316,13,94.89,95.93,0.49,484,3,17.63,3.59,1.59
4551,38,28.61,20.57,33.41,52,3,13.56,4.53,0.84
1501,72,56.6,74.65,19.71,413,3,1.38,9.84,1.44
8575,93,69.05,98.26,34.23,493,4,3.66,1.69,1.78
6917,10,57.76,14.38,47.58,174,3,18.27,2.14,2.42
4089,7,86.98,99.7,28.48,319,3,13.7,6.82,1.07
7831,96,17.85,33.73,38.07,124,2,1.02,4.77,1.14
6008,4,66.15,62.33,20.96,8,4,6.74,4.91,2.33
1796,51,98.31,73.42,34.95,45,4,6.55,6.45,1.56
5159,81,26.71,92.77,25.59,413,1,5.48,4.57,0.63
4616,45,59.98,31.9,20.82,62,4,1.28,9.99,1.35
8806,40,18.66,68.96,34.87,475,3,7.94,8.3,1.21
1085,4,10.34,79.9,39.22,291,3,6.01,6.42,2.24
3963,51,67.78,12.36,27.11,391,4,9.2,6.55,0.75
4678,16,91.67,28.58,41.94,147,2,6.54,8.36,0.6
5103,81,92.13,20.99,37.61,284,1,8.12,9.12,0.71
9387,14,74.66,35.78,32.84,309,3,12.18,4.15,0.81
6497,13,20.21,40.33,39.21,286,1,6.36,1.59,1.56
7653,33,33.19,69.6,45.56,192,4,15.88,2.57,0.67
8137,19,27.64,10.82,0.64,177,2,18.42,7.79,2.46
2821,46,38.45,61.79,14.08,445,1,4.44,6.38,0.6
6756,5,7.71,6.93,4.58,308,4,7.01,6.66,0.77
1713,14,47.91,15.15,41.52,406,3,8.81,2.47,1.89
4791,25,54.21,87.27,29.81,236,1,18.21,6.3,1.56
9395,75,65.24,51.47,42.84,22,4,7.52,7.53,0.69
3190,67,98.93,17.73,11.91,390,4,10.92,5.11,1.88
8900,95,14.33,16.42,4.13,188,2,11.54,7.03,1.66
8747,26,21.31,95.62,19.8,308,4,8.14,2.54,0.84
9743,21,84.78,63.54,22.38,417,2,18.27,1.63,2.23
5451,74,6.74,35.95,3.01,52,3,0.6,2.55,1.94
2084,13,48.49,72.06,41.69,199,4,7.6,3.33,1.79
5780,12,86.72,24.43,5.07,177,1,4.05,8.42,1.17
9197,66,46.2,33.05,4.2,383,3,3.95,8.26,1.88
7558,51,87.55,41.9,42.81,60,1,19.21,2.5,1.44
8864,37,36.88,56.75,8.1,305,3,17.34,1.85,0.65
4700,43,13.69,94.73,16.66,352,4,15.05,8.06,0.96
8686,75,70.89,39.25,33.43,499,2,6.12,1.53,0.94
6347,40,68.22,58.49,12.7,70,1,7.66,3.95,2.18
1785,27,58.42,99.74,4.65,221,1,18.81,6.94,0.8
6845,23,69.99,22.47,37.0,400,4,8.9,7.84,1.64
5619,98,10.85,24.27,24.91,250,1,1.0,5.07,1.89
5797,1,73.47,9.1,3.66,358,3,12.36,7.55,0.84
1207,75,20.47,22.32,36.93,392,2,17.0,4.24,2.04
4190,96,23.02,13.7,46.18,444,4,5.63,1.58,0.64
5463,5,7.51,92.41,26.17,19,4,9.79,3.49,1.26
6487,20,30.99,70.53,29.58,492,4,4.39,1.91,2.3
9059,61,58.85,52.72,1.66,361,1,13.85,9.01,0.72
4800,13,25.55,43.17,41.15,311,2,2.43,2.15,0.7
7232,88,26.86,49.94,42.76,161,4,15.5,2.16,1.5
8250,72,72.88,38.11,13.55,213,2,17.85,6.87,1.9
7801,62,75.29,45.8,15.12,348,4,13.88,7.2,1.22
5523,94,34.72,51.29,22.43,354,3,11.75,7.75,2.28
7913,9,81.92,23.8,39.89,250,1,1.18,5.35,1.41
6967,79,19.75,50.9,33.58,477,4,8.15,4.58,1.76
6091,93,9.14,43.82,23.34,265,2,2.44,9.06,0.91
5047,46,31.45,32.45,40.18,450,2,1.5,5.71,1.73
5186,69,64.11,24.81,10.14,435,4,5.55,6.67,1.52
9589,16,9.95,22.12,15.07,244,1,16.51,1.32,2.24
5789,42,37.82,52.74,48.46,59,4,7.1,2.11,1.36
1526,16,87.82,37.74,0.61,148,2,4.79,4.32,1.84
7518,48,92.83,23.95,17.97,388,2,7.32,5.62,0.63
9016,25,64.14,95.07,23.82,493,3,4.16,1.79,2.09
8528,36,47.84,74.6,18.49,154,3,18.06,6.14,1.01
4335,51,89.68,91.22,8.24,110,2,13.48,2.68,1.55
4817,61,73.72,90.61,8.71,109,2,18.11,2.56,1.51
8298,48,64.78,86.84,28.02,268,2,5.88,9.76,2.22
5305,86,77.42,97.66,48.77,150,1,14.03,6.5,0.79
5385,23,33.27,83.31,25.65,330,1,6.77,7.3,0.68
6494,23,98.0,75.03,37.5,105,3,2.51,5.94,2.02
4916,20,32.91,47.44,6.86,480,2,0.72,8.65,1.91
8471,55,31.55,16.67,19.71,252,1,13.62,1.28,2.2
9540,52,69.74,70.2,2.09,191,2,4.02,5.37,1.58
3143,72,38.1,37.42,46.1,209,1,17.3,6.11,0.97
3052,97,9.65,72.8,11.2,447,4,0.36,2.53,2.25
3232,73,91.15,97.7,29.75,290,4,5.8,7.26,1.92
6876,68,81.62,61.4,6.76,139,3,7.56,8.1,1.1
7151,99,36.31,86.86,25.57,493,3,15.83,6.24,1.27
4926,77,99.36,28.42,20.42,111,1,1.42,7.07,0.82
3356,89,54.12,45.86,20.35,145,4,18.69,6.42,2.35
8601,91,95.36,21.2,34.81,213,2,2.97,5.68,0.86
5367,50,96.99,70.21,47.29,491,1,4.8,1.76,1.01
7370,18,41.31,50.05,0.14,112,3,6.29,3.84,0.6
7468,17,57.89,68.01,28.04,117,2,3.41,1.98,0.86
9294,24,74.68,86.68,36.71,367,4,11.5,9.19,1.54
4408,13,17.7,96.97,40.0,302,1,5.4,5.37,2.41
3199,74,66.07,76.09,1.92,475,4,4.18,5.77,1.88
7400,36,13.68,28.3,24.08,114,3,7.9,5.19,2.12
6421,25,23.78,58.64,39.6,384,2,0.61,7.49,2.3
1241,89,78.12,13.77,35.12,19,4,12.63,1.53,1.16
7449,97,56.06,90.86,5.27,7,4,14.71,6.83,1.32
5945,59,67.4,46.56,47.0,43,2,14.78,5.52,1.9
8682,66,91.71,28.46,13.82,107,1,9.45,7.42,1.1
4901,57,81.61,52.67,7.23,457,3,14.57,9.39,1.53
3055,45,83.37,6.68,17.72,100,2,11.06,6.66,2.49
4008,25,85.02,34.16,11.05,229,4,8.0,6.74,1.81
6442,2,20.81,77.19,25.15,226,3,2.18,4.57,2.34
1687,34,60.34,24.11,42.22,304,2,8.76,6.2,1.92
2796,29,53.48,75.46,4.39,183,2,7.2,2.74,2.29
3748,81,92.81,16.29,29.55,491,4,2.27,1.39,0.94
9467,5,26.45,90.1,13.73,345,4,18.63,4.25,2.27
2934,51,56.15,40.11,29.41,142,1,15.89,1.19,0.83
5972,42,93.55,11.25,37.04,21,4,12.93,5.73,2.04
9629,62,86.79,49.34,29.67,172,2,1.09,6.5,0.87
9382,38,63.0,67.06,6.63,73,4,16.06,3.05,1.2
6720,2,96.03,59.17,39.76,89,3,5.11,8.46,1.39
2422,18,94.23,34.98,23.41,286,2,8.82,1.38,1.7
5698,4,92.12,61.96,44.96,65,4,17.06,2.92,2.04
4625,4,11.48,63.27,49.57,496,2,1.37,5.68,0.58
5905,36,5.1,32.6,36.43,189,2,9.13,3.86,1.72
3513,69,67.03,95.13,17.21,46,1,6.03,7.85,1.76
5939,87,76.77,61.18,36.91,317,3,1.92,6.78,2.3
2397,63,85.71,38.64,24.6,332,3,12.7,6.21,1.1
9363,82,15.27,63.59,11.75,110,2,7.93,6.3,1.85
7980,27,86.35,64.87,47.52,471,3,13.38,3.51,1.49
3496,84,96.31,98.82,27.46,105,3,3.16,3.81,0.59
2729,76,68.07,76.83,47.3,418,1,7.21,9.08,1.72
3731,23,68.79,40.01,25.75,184,1,8.77,2.38,0.96
6365,58,98.31,90.67,23.8,279,1,1.96,3.9,1.84
2168,53,78.34,95.68,43.82,395,1,19.91,6.9,2.5
9209,54,69.77,8.92,43.39,338,4,12.38,9.51,0.63
6603,85,37.56,16.26,17.0,283,3,6.21,3.6,1.8
2583,50,76.7,43.43,0.32,314,1,7.93,4.09,1.66
6454,37,86.71,82.85,40.78,194,1,0.58,6.1,2.48
5768,30,66.74,17.26,42.66,203,4,2.41,2.0,0.51
5213,67,57.96,19.54,43.63,64,1,1.39,6.69,2.47
6251,55,46.52,93.85,8.85,224,2,18.75,8.97,1.85
8497,87,66.14,49.2,9.07,6,3,5.96,7.87,1.98
8082,75,6.17,34.24,38.95,96,2,7.22,8.42,1.78
7511,95,95.96,73.38,6.34,411,2,1.94,9.74,0.52
8444,18,40.05,33.94,0.18,126,2,14.95,9.3,1.1
2158,68,32.58,50.17,32.01,299,4,17.8,9.16,1.7
7019,7,51.79,91.23,23.42,116,4,9.02,6.79,1.34
3210,41,24.24,44.71,21.53,79,2,4.18,1.07,1.11
3055,71,96.52,21.22,37.03,301,3,2.29,7.28,2.46
6502,75,14.54,32.01,17.63,329,1,7.93,8.46,1.99
3362,94,42.19,27.67,22.2,453,4,15.57,3.08,1.7
2575,69,90.01,70.31,9.03,368,1,5.06,2.95,2.19
2010,30,22.03,51.18,9.51,211,4,0.4,5.59,2.44
1220,98,50.39,60.16,38.62,446,4,8.81,5.7,2.15
9296,39,62.51,78.63,17.61,109,1,4.22,1.77,0.8
6774,36,7.62,60.06,2.86,180,1,2.85,3.71,1.5
2970,36,32.24,92.41,18.56,477,1,16.05,9.8,1.31
2917,5,46.32,76.68,1.9,57,2,4.5,6.57,1.38
8191,42,67.6,80.45,38.95,369,4,10.41,3.83,2.18
8962,59,29.55,90.52,11.72,104,2,14.08,5.43,1.56
9482,28,21.42,59.65,30.91,59,4,5.8,7.4,1.34
7249,17,87.07,28.28,36.33,434,4,6.13,9.22,0.58
4208,81,6.4,64.13,20.79,414,4,7.1,1.13,2.24
2501,94,78.53,73.91,39.34,483,3,0.1,8.16,1.01
9846,17,81.25,98.09,27.74,487,3,11.62,2.72,1.05
1841,62,66.11,33.42,40.52,317,3,7.07,3.44,2.19
4725,61,40.66,91.72,18.27,96,2,11.77,1.64,1.46
4958,63,91.52,70.95,37.33,118,2,3.43,9.12,1.96
8431,96,33.24,78.64,6.31,457,4,15.74,6.87,1.18
8876,43,18.85,65.97,33.52,265,4,7.37,2.5,1.46
3245,42,35.12,7.3,22.89,362,2,15.71,1.92,0.54
4995,40,98.05,53.03,32.06,49,4,16.06,8.11,0.72
7984,35,34.86,73.19,20.49,15,4,19.06,1.39,0.94
1800,52,31.85,33.55,16.93,271,1,16.62,2.33,1.28
1385,86,25.94,73.73,24.55,420,4,13.56,5.39,2.39
6322,20,93.34,80.26,48.07,294,4,6.27,3.91,1.07
4658,62,28.55,87.46,11.01,379,4,15.01,9.15,1.49
8360,14,90.61,88.49,12.9,397,4,19.47,3.52,1.25
8751,76,87.17,37.02,43.13,318,4,5.75,8.53,0.7
9498,93,32.78,28.8,29.0,262,3,3.6,5.79,2.04
9925,45,17.15,63.03,16.05,102,4,14.23,7.78,1.21
2968,69,65.28,97.16,30.06,320,1,14.39,8.78,1.56
1174,49,10.37,69.83,35.02,41,2,15.17,5.34,2.29
1411,93,35.7,15.79,35.46,289,2,3.93,1.09,1.87
7155,21,25.2,72.15,19.71,400,4,9.9,9.53,1.31
3133,46,90.12,79.31,41.19,33,3,1.12,4.6,1.04
3582,7,63.63,45.57,21.31,423,3,2.11,6.5,1.47
9331,11,92.69,30.09,42.99,317,4,6.24,8.97,2.39
1261,21,54.13,63.74,17.0,306,4,0.42,3.75,2.16
1768,6,19.4,12.99,32.21,310,3,9.31,4.11,1.76
8038,1,18.36,14.39,49.52,84,3,13.9,6.32,1.84
8467,74,77.9,38.48,1.82,341,1,12.84,3.37,1.34
3538,27,28.35,39.98,8.15,303,3,14.49,8.66,2.47
7416,84,7.24,74.96,39.7,394,3,4.8,5.49,0.64
1547,28,5.68,9.08,34.33,167,4,19.62,7.12,1.96
5650,25,65.65,96.14,34.06,47,4,16.32,5.43,1.41
7592,44,78.12,67.32,45.57,318,3,13.09,9.19,1.86
3448,2,92.47,47.68,12.94,196,3,0.31,5.54,1.13
7522,61,15.43,57.7,37.81,258,2,17.58,9.49,2.41
9567,99,78.96,36.28,46.68,143,2,3.67,7.78,0.97
9896,20,46.19,29.99,18.35,52,2,19.31,9.73,0.78
3898,88,80.33,5.29,10.77,72,3,15.39,1.63,1.51
7558,98,45.15,16.99,12.71,279,3,7.02,4.85,2.41
8519,46,96.58,65.75,9.14,227,3,10.71,1.11,1.68
5299,48,75.64,65.53,33.94,77,4,2.79,3.45,0.76
1173,9,64.74,12.11,30.76,416,1,10.4,3.98,1.35
3043,24,67.33,18.87,44.91,289,2,0.61,3.54,1.38
7775,78,77.96,87.19,31.03,32,2,4.66,6.88,1.3
4583,85,57.07,88.57,17.99,116,3,18.55,2.17,0.87
5544,23,20.47,82.46,25.28,55,4,7.03,4.17,1.99
3069,51,87.03,33.36,29.2,461,1,6.56,4.85,1.47
4777,81,68.02,9.09,16.02,350,4,10.25,1.47,1.81
8597,52,19.33,65.9,21.45,280,2,1.22,1.44,2.24
3262,81,13.22,57.81,17.19,374,1,10.12,9.5,2.16
4208,52,77.25,37.49,38.04,332,1,6.05,8.05,1.53
8995,77,76.13,9.82,1.0,443,4,11.59,1.69,0.77
7164,6,42.63,18.39,43.76,253,2,7.21,5.83,1.28
1106,72,76.76,30.97,31.63,254,4,17.53,3.5,1.44
9704,5,91.76,9.53,45.71,227,2,6.76,8.55,1.56
3395,87,5.14,97.69,7.22,399,3,19.37,5.48,2.04
1714,89,36.76,18.2,38.72,146,4,15.59,5.43,1.31
3596,28,69.21,19.53,37.76,89,3,0.88,2.23,1.74
9599,12,48.63,75.7,3.63,353,2,11.1,9.53,0.97
7823,40,41.34,76.71,30.58,324,3,5.86,7.33,2.36
1171,9,43.07,41.05,43.78,234,4,7.92,4.55,1.79
6818,30,5.93,8.09,35.42,368,1,11.41,1.89,1.43
5688,51,62.15,79.93,32.41,289,3,13.6,3.78,2.04
3945,40,87.73,61.44,49.73,55,2,16.5,4.74,2.17
6291,72,12.0,57.48,0.7,53,2,2.82,1.12,0.77
2355,90,23.14,28.83,8.85,488,4,16.01,8.85,1.02
1361,63,44.26,32.06,17.41,149,2,9.28,5.16,1.4
3114,98,68.11,41.93,31.4,32,1,14.27,1.72,1.25
4768,88,27.83,38.48,42.26,383,1,7.04,6.41,1.92
5467,9,39.12,56.22,38.2,399,4,15.47,5.51,0.86
6096,4,17.9,56.76,24.22,21,4,8.08,4.84,0.83
4985,70,79.32,26.95,11.71,56,4,13.93,1.18,2.04
7360,30,5.23,87.2,8.18,487,2,8.11,2.13,1.93
3778,38,88.73,58.43,37.49,491,1,8.98,8.71,1.43
4273,71,46.77,6.37,46.44,450,2,9.95,7.7,2.41
2195,93,45.68,65.8,46.96,41,1,17.74,8.66,1.35
1833,37,67.01,79.51,36.74,45,1,5.26,5.85,2.24
9892,91,94.88,51.55,42.2,309,1,9.63,4.28,2.31
8259,45,36.73,87.56,22.38,265,2,4.68,6.44,2.45
8099,33,71.56,89.29,38.26,3,4,8.81,8.13,2.33
3838,83,41.79,40.9,43.3,354,4,4.91,4.54,1.11
5719,34,27.07,79.81,3.78,436,3,19.73,7.59,1.53
9899,8,87.72,33.89,31.28,414,3,1.18,5.26,1.5
8701,74,74.55,86.37,33.16,201,2,7.15,9.36,1.5
5429,21,32.04,80.0,37.83,480,1,5.97,6.76,1.02
3236,40,14.28,13.58,30.51,23,2,8.11,2.92,1.43
2191,28,11.95,52.3,46.65,93,4,19.0,5.22,1.39
1612,4,62.07,82.38,35.7,327,1,0.92,4.19,2.38
4067,21,36.69,96.9,19.29,455,2,17.86,9.99,2.12
8088,13,69.44,67.72,48.28,297,3,10.61,1.79,0.65
4422,30,13.81,71.54,7.87,19,4,12.21,2.15,2.47
1395,64,79.4,13.71,33.04,481,4,12.51,3.82,1.1
8009,41,54.5,59.67,5.04,309,1,7.55,9.27,1.76
2851,6,89.69,23.84,38.28,378,3,7.57,8.26,0.55
9171,88,45.34,11.72,27.54,44,3,12.55,4.86,1.54
5765,40,86.77,23.0,2.36,342,1,9.34,9.83,2.45
3905,3,54.79,22.65,3.22,16,4,18.75,1.65,1.68
4009,33,34.27,46.33,39.11,84,3,11.01,7.13,0.93
7044,45,93.02,26.49,4.67,225,2,15.48,2.84,0.92
3226,57,79.88,19.98,5.3,306,3,18.56,6.81,1.11
7510,53,54.81,81.05,38.42,448,4,5.67,7.42,2.49
4412,56,88.73,91.77,23.22,289,4,3.0,6.35,0.51
1454,54,81.39,35.18,0.53,232,2,16.19,2.49,1.65
2401,59,95.31,81.78,28.7,316,1,18.83,3.92,0.68
4829,63,18.7,97.81,5.05,273,1,19.23,3.69,2.16
9919,4,33.31,75.34,20.41,425,1,7.47,1.1,1.16
1210,25,91.47,15.18,23.17,84,2,14.8,2.93,0.6
1942,78,53.2,22.81,4.43,371,4,7.32,1.31,0.87
3016,55,76.81,63.03,9.87,140,2,4.88,9.41,2.15
9959,52,86.02,58.22,10.43,376,3,9.95,9.6,2.05
9605,71,71.83,93.47,29.83,126,4,12.1,8.99,1.34
8014,66,15.31,87.34,2.57,318,3,16.36,8.93,0.89
8942,42,92.57,11.84,44.93,67,3,12.38,7.64,1.32
4360,8,66.04,10.93,2.51,155,2,16.2,8.69,2.04
4272,39,41.08,32.24,9.33,498,1,12.39,9.25,0.83
1016,83,84.32,43.99,12.27,6,2,13.95,7.37,2.07
1780,50,35.3,25.99,24.39,309,4,1.33,2.54,2.14
